date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:35	31457/31457	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:37%20GMT	https://fragment.com/username/decent	C:/My%20Web%20Sites/Fragment/fragment.com/username/decent.html	(from https://fragment.com/)
13:14:36	31580/31580	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:37%20GMT	https://fragment.com/username/disguise	C:/My%20Web%20Sites/Fragment/fragment.com/username/disguise.html	(from https://fragment.com/)
13:14:36	31700/31700	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:38%20GMT	https://fragment.com/username/divaescortagency	C:/My%20Web%20Sites/Fragment/fragment.com/username/divaescortagency.html	(from https://fragment.com/)
13:14:37	31532/31532	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:38%20GMT	https://fragment.com/username/divas	C:/My%20Web%20Sites/Fragment/fragment.com/username/divas.html	(from https://fragment.com/)
13:14:37	31473/31473	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:39%20GMT	https://fragment.com/username/fascist	C:/My%20Web%20Sites/Fragment/fragment.com/username/fascist.html	(from https://fragment.com/)
13:14:38	31486/31486	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:39%20GMT	https://fragment.com/username/feminine	C:/My%20Web%20Sites/Fragment/fragment.com/username/feminine.html	(from https://fragment.com/)
13:14:38	31441/31441	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:40%20GMT	https://fragment.com/username/feral	C:/My%20Web%20Sites/Fragment/fragment.com/username/feral.html	(from https://fragment.com/)
13:14:40	31458/31458	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:41%20GMT	https://fragment.com/username/ghetto	C:/My%20Web%20Sites/Fragment/fragment.com/username/ghetto.html	(from https://fragment.com/)
13:14:40	31457/31457	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:42%20GMT	https://fragment.com/username/giggle	C:/My%20Web%20Sites/Fragment/fragment.com/username/giggle.html	(from https://fragment.com/)
13:14:41	31550/31550	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:42%20GMT	https://fragment.com/username/horses	C:/My%20Web%20Sites/Fragment/fragment.com/username/horses.html	(from https://fragment.com/)
13:14:41	31471/31471	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:43%20GMT	https://fragment.com/username/isolate	C:/My%20Web%20Sites/Fragment/fragment.com/username/isolate.html	(from https://fragment.com/)
13:14:42	31502/31502	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:43%20GMT	https://fragment.com/username/liquidate	C:/My%20Web%20Sites/Fragment/fragment.com/username/liquidate.html	(from https://fragment.com/)
13:14:42	31535/31535	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:44%20GMT	https://fragment.com/username/mouth	C:/My%20Web%20Sites/Fragment/fragment.com/username/mouth.html	(from https://fragment.com/)
13:14:43	31594/31594	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2012:14:44%20GMT	https://fragment.com/username/nostalgia	C:/My%20Web%20Sites/Fragment/fragment.com/username/nostalgia.html	(from https://fragment.com/)
